|       | symbol   | companyName                                                                                                                                                      | currency   | exchange                     | exchangeShortName   | country   | state                     |
|------:|:---------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------|:-----------|:-----------------------------|:--------------------|:----------|:--------------------------|
|     0 | SPY      | SPDR S&P 500 ETF Trust                                                                                                                                           | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|     1 | CMCSA    | Comcast Corporation                                                                                                                                              | USD        | Nasdaq Global Select         | NASDAQ              | US        | PENNSYLVANIA              |
|     2 | KMI      | Kinder Morgan, Inc.                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|     3 | INTC     | Intel Corporation                                                                                                                                                | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|     4 | MU       | Micron Technology, Inc.                                                                                                                                          | USD        | Nasdaq Global Select         | NASDAQ              | US        | IDAHO                     |
|     5 | GDX      | VanEck Vectors Gold Miners ETF                                                                                                                                   | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|     6 | GE       | General Electric Company                                                                                                                                         | USD        | New York Stock Exchange      | NYSE                | US        | MASSACHUSETTS             |
|     7 | BAC      | Bank of America Corporation                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | US        | NORTH CAROLINA            |
|     8 | EEM      | iShares MSCI Emerging Markets ETF                                                                                                                                | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|     9 | XLF      | Financial Select Sector SPDR Fund                                                                                                                                | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    10 | AAPL     | Apple Inc.                                                                                                                                                       | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|    11 | MSFT     | Microsoft Corporation                                                                                                                                            | USD        | Nasdaq Global Select         | NASDAQ              | US        | WASHINGTON                |
|    12 | SIRI     | Sirius XM Holdings Inc.                                                                                                                                          | USD        | Nasdaq Global Select         | NASDAQ              | US        | NEW YORK                  |
|    13 | HPQ      | HP Inc.                                                                                                                                                          | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|    14 | CX       | CEMEX, S.A.B. de C.V.                                                                                                                                            | USD        | New York Stock Exchange      | NYSE                | MX        | NL                        |
|    15 | EFA      | iShares MSCI EAFE ETF                                                                                                                                            | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|    16 | CZR      | Caesars Entertainment, Inc.                                                                                                                                      | USD        | Nasdaq Global Select         | NASDAQ              | US        | NEVADA                    |
|    17 | QQQ      | Invesco QQQ Trust                                                                                                                                                | USD        | Nasdaq Global Market         | NASDAQ              | US        |                           |
|    18 | F        | Ford Motor Company                                                                                                                                               | USD        | New York Stock Exchange      | NYSE                | US        | MICHIGAN                  |
|    19 | AMD      | Advanced Micro Devices, Inc.                                                                                                                                     | USD        | Nasdaq Capital Market        | NASDAQ              | US        | CALIFORNIA                |
|    20 | SNAP     | Snap Inc.                                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|    21 | FB       | Facebook, Inc.                                                                                                                                                   | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|    22 | WFC      | Wells Fargo & Company                                                                                                                                            | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|    23 | AIG      | American International Group, Inc.                                                                                                                               | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|    24 | T        | AT&T Inc.                                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|    25 | C        | Citigroup Inc.                                                                                                                                                   | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|    26 | VALE     | Vale S.A.                                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | BR        | RJ                        |
|    27 | MS       | Morgan Stanley                                                                                                                                                   | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|    28 | JPM      | JPMorgan Chase & Co.                                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
