exchange,exchange
AMEX,1
ASE,1
Amsterdam,120
Athens,3
BATS,216
BATS Exchange,232
Brussels,149
Canadian Sec,6
Copenhagen,6
EURONEXT,2
FGI,1
Frankfurt,8
HKG,5
HKSE,2555
Hamburg,1
Helsinki,4
Irish,34
Istanbul,3
Jakarta,1
Johannesburg,3
KOSDAQ,1
KSE,1
LSE,2943
Lisbon,40
MCE,2
MCX,187
Mexico,1
Milan,2
NASDAQ,6
NASDAQ Global Market,13
NCM,31
NMS,73
NSE,1591
NYSE,1
NYSE American,297
NYSEArca,409
NZSE,2
Nasdaq,244
Nasdaq Capital Market,2651
Nasdaq Global Market,882
Nasdaq Global Select,2285
New York Stock Exchange,2788
New York Stock Exchange Arca,1253
OSE,154
OSL,1
OTC,1
Oslo,33
Other OTC,933
Paris,722
SAT,1
SIX,235
Santiago,1
Sao Paolo,23
Shanghai,2
Shenzhen,3
Stockholm,6
Swiss,2
TSXV,13
Taiwan,7
Tokyo,2
Toronto,1531
Vienna,2
XETRA,855
YHD,9
